"CO_CURSO","NO_CURSO","FK_CO_IES"
3151,ENGENHARIA AGRONÔMICA,56
3154,CIÊNCIAS BIOLÓGICAS,56
3156,ENGENHARIA DE ALIMENTOS,56
3159,ENGENHARIA ELÉTRICA,56
3160,AGRONOMIA,56
3161,ODONTOLOGIA,56
3162,GEOGRAFIA,56
3163,MATEMÁTICA,56
3164,ENGENHARIA CARTOGRÁFICA,56
3165,ESTATÍSTICA,56
3166,PEDAGOGIA,56
3167,CIÊNCIAS SOCIAIS,56
3168,FILOSOFIA,56
3169,BIBLIOTECONOMIA,56
3172,HISTÓRIA,56
3173,ODONTOLOGIA,56
3174,ENGENHARIA ELÉTRICA,56
3176,MEDICINA VETERINÁRIA,56
3177,ZOOTECNIA,56
3179,MATEMÁTICA,56
3190,CIÊNCIA DA COMPUTAÇÃO,56
3191,ENGENHARIA FLORESTAL,56
3193,SISTEMA DE INFORMAÇÃO,56
3194,ENGENHARIA CIVIL,56
3195,ENGENHARIA DE PRODUÇÃO MECÂNICA,56
3196,ENGENHARIA MECÂNICA,56
3197,CIÊNCIA DA COMPUTAÇÃO,56
3199,COMUNICAÇÃO SOCIAL - RELAÇÕES PÚBLICAS,56
3201,EDUCAÇÃO FÍSICA,56
3202,ARQUITETURA E URBANISMO,56
3203,COMUNICAÇÃO SOCIAL - JORNALISMO,56
3204,EDUCAÇÃO ARTÍSTICA,56
3206,FISIOTERAPIA,56
3207,EDUCAÇÃO FÍSICA,56
3208,COMUNICAÇÃO SOCIAL  - RADIALISMO,56
3209,PEDAGOGIA,56
3211,CIÊNCIAS DA COMPUTAÇÃO,56
3212,FÍSICA,56
3214,PEDAGOGIA,56
3215,ENFERMAGEM,56
3217,MATEMÁTICA,56
3218,FÍSICA,56
3219,CIÊNCIAS BIOLÓGICAS,56
3220,FONOAUDIOLOGIA,56
3221,MEDICINA VETERINÁRIA,56
3222,CIÊNCIAS BIOLÓGICAS,56
3392,CIÊNCIAS ECONÔMICAS,57
3393,ADMINISTRAÇÃO,57
3394,CIÊNCIAS CONTÁBEIS,57
3395,DIREITO,57
3397,PEDAGOGIA,57
3399,HISTÓRIA,57
3400,GEOGRAFIA,57
3401,PSICOLOGIA,57
